url,title,date,class,venue
https://vault.racerxonline.com/1994-01-15/125esx/citrus-bowl,Orlando - 125ESX,"January 15, 1994",125esx,Citrus Bowl
https://vault.racerxonline.com/1994-01-15/250sx/citrus-bowl,Orlando - 250SX,"January 15, 1994",250sx,Citrus Bowl
https://vault.racerxonline.com/1994-01-22/125ewsx/astrodome,Houston - 125E/WSX,"January 22, 1994",125ewsx,Astrodome
https://vault.racerxonline.com/1994-01-22/250sx/astrodome,Houston - 250SX,"January 22, 1994",250sx,Astrodome
https://vault.racerxonline.com/1994-01-29/125wsx/anaheim-stadium,Anaheim - 125WSX,"January 29, 1994",125wsx,Anaheim Stadium
https://vault.racerxonline.com/1994-01-29/250sx/anaheim-stadium,Anaheim - 250SX,"January 29, 1994",250sx,Anaheim Stadium
https://vault.racerxonline.com/1994-02-05/125wsx/jack-murphy-stadium,San Diego - 125WSX,"February 5, 1994",125wsx,Jack Murphy Stadium
https://vault.racerxonline.com/1994-02-05/250sx/jack-murphy-stadium,San Diego - 250SX,"February 5, 1994",250sx,Jack Murphy Stadium
https://vault.racerxonline.com/1994-02-12/125esx/tampa-stadium,Tampa - 125ESX,"February 12, 1994",125esx,Tampa Stadium
https://vault.racerxonline.com/1994-02-12/250sx/tampa-stadium,Tampa - 250SX,"February 12, 1994",250sx,Tampa Stadium
https://vault.racerxonline.com/1994-02-26/125esx/georgia-dome,Atlanta - 125ESX,"February 26, 1994",125esx,Georgia Dome
https://vault.racerxonline.com/1994-02-26/250sx/georgia-dome,Atlanta - 250SX,"February 26, 1994",250sx,Georgia Dome
https://vault.racerxonline.com/1994-03-06/125mx/gatorback-cycle-park,Gatorback Cycle Park - 125MX,"March 6, 1994",125mx,Gatorback Cycle Park
https://vault.racerxonline.com/1994-03-06/250mx/gatorback-cycle-park,Gatorback Cycle Park - 250MX,"March 6, 1994",250mx,Gatorback Cycle Park
https://vault.racerxonline.com/1994-03-12/125esx/daytona-international-speedway,Daytona - 125ESX,"March 12, 1994",125esx,Daytona International Speedway
https://vault.racerxonline.com/1994-03-12/250sx/daytona-international-speedway,Daytona - 250SX,"March 12, 1994",250sx,Daytona International Speedway
https://vault.racerxonline.com/1994-03-19/125esx/rca-dome,Indianapolis - 125ESX,"March 19, 1994",125esx,Rca Dome
https://vault.racerxonline.com/1994-03-19/250sx/rca-dome,Indianapolis - 250SX,"March 19, 1994",250sx,Rca Dome
https://vault.racerxonline.com/1994-03-26/125esx/memorial-stadium,Charlotte - 125ESX,"March 26, 1994",125esx,Memorial Stadium
https://vault.racerxonline.com/1994-03-26/250sx/memorial-stadium,Charlotte - 250SX,"March 26, 1994",250sx,Memorial Stadium
https://vault.racerxonline.com/1994-04-09/125esx/silverdome,Pontiac - 125ESX,"April 9, 1994",125esx,Silverdome
https://vault.racerxonline.com/1994-04-09/250sx/silverdome,Pontiac - 250SX,"April 9, 1994",250sx,Silverdome
https://vault.racerxonline.com/1994-04-16/125esx/metrodome,Minneapolis - 125ESX,"April 16, 1994",125esx,Metrodome
https://vault.racerxonline.com/1994-04-16/125wsx/metrodome,Minneapolis - 125WSX,"April 16, 1994",125wsx,Metrodome
https://vault.racerxonline.com/1994-04-16/250sx/metrodome,Minneapolis - 250SX,"April 16, 1994",250sx,Metrodome
https://vault.racerxonline.com/1994-04-23/125esx/texas-stadium,Irving - 125ESX,"April 23, 1994",125esx,Texas Stadium
https://vault.racerxonline.com/1994-04-23/125wsx/texas-stadium,Irving - 125WSX,"April 23, 1994",125wsx,Texas Stadium
https://vault.racerxonline.com/1994-04-23/250sx/texas-stadium,Irving - 250SX,"April 23, 1994",250sx,Texas Stadium
https://vault.racerxonline.com/1994-05-01/125mx/hangtown-motocross-classic,Hangtown Motocross Classic - 125MX,"May 1, 1994",125mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1994-05-01/250mx/hangtown-motocross-classic,Hangtown Motocross Classic - 250MX,"May 1, 1994",250mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1994-05-07/125wsx/kingdome,Seattle - 125WSX,"May 7, 1994",125wsx,Kingdome
https://vault.racerxonline.com/1994-05-07/250sx/kingdome,Seattle - 250SX,"May 7, 1994",250sx,Kingdome
https://vault.racerxonline.com/1994-05-22/125mx/budds-creek-motocross-park,Budds Creek Motocross - 125MX,"May 22, 1994",125mx,Budds Creek Motocross Park
https://vault.racerxonline.com/1994-05-22/250mx/budds-creek-motocross-park,Budds Creek Motocross - 250MX,"May 22, 1994",250mx,Budds Creek Motocross Park
https://vault.racerxonline.com/1994-05-29/125mx/high-point-raceway,High Point Raceway - 125MX,"May 29, 1994",125mx,High Point Raceway
https://vault.racerxonline.com/1994-05-29/250mx/high-point-raceway,High Point Raceway - 250MX,"May 29, 1994",250mx,High Point Raceway
https://vault.racerxonline.com/1994-06-04/125wsx/spartan-stadium,San Jose - 125WSX,"June 4, 1994",125wsx,Spartan Stadium
https://vault.racerxonline.com/1994-06-04/250sx/spartan-stadium,San Jose - 250SX,"June 4, 1994",250sx,Spartan Stadium
https://vault.racerxonline.com/1994-06-11/125wsx/sam-boyd-stadium,Las Vegas - 125WSX,"June 11, 1994",125wsx,Sam Boyd Stadium
https://vault.racerxonline.com/1994-06-11/250sx/sam-boyd-stadium,Las Vegas - 250SX,"June 11, 1994",250sx,Sam Boyd Stadium
https://vault.racerxonline.com/1994-06-26/125mx/moto-x-338,Moto-X 338 - 125MX,"June 26, 1994",125mx,Moto X 338
https://vault.racerxonline.com/1994-06-26/250mx/moto-x-338,Moto-X 338 - 250MX,"June 26, 1994",250mx,Moto X 338
https://vault.racerxonline.com/1994-07-03/125mx/red-bud-track-n-trail,RedBud Track 'n Trail - 125MX,"July 3, 1994",125mx,Red Bud Track N Trail
